"","PD_00_ID","PD_01_age","PD_02_gender","PD_03_employer","PD_04_work_yrs","PD_05_work_hrs","PD_06_leader","PD_07_ho_amount"
"1","1",2,1,4,1,1,2,0.8
"2","2",5,1,4,15,1,2,0.6
"3","3",4,1,2,5,1,2,0.5
"4","4",3,2,1,1,1,2,0.6
"5","5",4,1,2,1,1,1,0.6
"6","6",3,2,2,7,1,2,0.4
"7","7",2,2,10,1,5,2,0.7
"8","8",2,2,2,2,1,2,0.6
"9","9",2,1,2,0,5,2,0.8
"10","10",4,1,7,2,2,2,0.8
"11","11",3,1,1,8,1,2,0.5
"12","12",3,1,4,1,1,2,0.6
"13","13",2,1,1,2,1,2,0.6
"14","14",6,1,1,26,1,NA,0.4
"15","15",6,1,2,32,1,2,0.5
"16","16",5,2,9,27,1,2,0.4
"17","17",2,2,4,0,1,2,0.6
"18","18",3,2,4,5,1,2,0.5
"19","19",5,2,4,11,1,2,0.5
"20","20",3,1,4,12,1,1,0.9
"21","21",3,1,2,5,1,2,0.8
"22","22",5,1,1,25,2,1,0.6
"23","23",3,2,1,6,1,2,0.6
"24","24",5,2,7,23,1,2,0.4
"25","25",2,1,7,1,2,2,0.8
"26","26",3,2,2,1,1,2,0.4
"27","27",3,1,7,7,2,2,0.6
"28","28",3,1,7,1,1,2,0.5
"29","30",3,2,7,4,1,2,0.6
"30","31",3,1,4,3,1,2,0.9
"31","32",4,2,4,1,1,2,0.8
"32","33",3,2,4,1,1,2,0.8
"33","34",2,2,4,0,4,2,0.6
"34","35",4,2,1,5,2,2,0
"35","36",3,1,7,4.5,1,2,0.6
"36","37",2,2,2,2,1,2,0.8
"37","38",2,1,10,4,1,2,0.5
"38","39",5,2,7,14,1,1,0.6
"39","40",3,4,7,6,1,2,0.6
"40","41",6,2,2,21,1,2,0.5
"41","42",4,2,10,4,1,2,1
"42","43",3,1,7,6,1,2,0.1
"43","44",3,2,10,3,1,2,0.6
"44","45",5,2,7,NA,1,1,0.6
"45","46",3,1,7,5,1,2,0.7
"46","47",3,1,2,2,2,2,0.6
"47","48",5,1,4,25,1,2,0.2
"48","49",4,1,4,23,2,1,0.8
"49","50",2,2,7,1,1,2,0.6
"50","51",4,2,2,15,1,2,0.8
"51","52",3,1,2,10,2,2,0.6
"52","53",3,1,2,3,2,2,0.5
"53","54",3,2,4,1,1,2,0.5
"54","55",2,1,4,NA,1,2,0.5
