"";"wlc_f1 ";"wla_f1 ";"srl_scores ";"srl_f_f1 ";"srl_f_f2 ";"srl_f_f3 ";"srl_f_f4 ";"srl_p_f1 ";"srl_p_f2 ";"srl_p_f3 ";"srl_sr_f1 ";"srl_sr_f2 ";"se_f1 "
"wlc_f1";"1.000   ";"";"";"";"";"";"";"";"";"";"";"";""
"wla_f1";"0.417***";"1.000   ";"";"";"";"";"";"";"";"";"";"";""
"srl_scores";"0.452***";"0.459***";"1.000   ";"";"";"";"";"";"";"";"";"";""
"srl_f_f1";"0.221*  ";"0.332***";"0.715***";"1.000   ";"";"";"";"";"";"";"";"";""
"srl_f_f2";"0.519***";"0.223*  ";"0.593***";"0.214*  ";"1.000   ";"";"";"";"";"";"";"";""
"srl_f_f3";"0.409***";"0.250** ";"0.634***";"0.348***";"0.646***";"1.000   ";"";"";"";"";"";"";""
"srl_f_f4";"0.425***";"0.442***";"0.597***";"0.386***";"0.311***";"0.246** ";"1.000   ";"";"";"";"";"";""
"srl_p_f1";"0.343***";"0.348***";"0.753***";"0.436***";"0.375***";"0.432***";"0.446***";"1.000   ";"";"";"";"";""
"srl_p_f2";"0.126   ";"0.366***";"0.666***";"0.547***";"0.253** ";"0.420***";"0.194*  ";"0.377***";"1.000   ";"";"";"";""
"srl_p_f3";"0.336***";"0.255** ";"0.697***";"0.340***";"0.393***";"0.455***";"0.365***";"0.539***";"0.357***";"1.000   ";"";"";""
"srl_sr_f1";"0.276** ";"0.201*  ";"0.558***";"0.192*  ";"0.349***";"0.221*  ";"0.349***";"0.296***";"0.251** ";"0.416***";"1.000   ";"";""
"srl_sr_f2";"0.184*  ";"0.295***";"0.671***";"0.421***";"0.255** ";"0.220*  ";"0.435***";"0.478***";"0.351***";"0.398***";"0.553***";"1.000   ";""
"se_f1";"0.333***";"0.207*  ";"0.380***";"0.157   ";"0.341***";"0.379***";"0.241** ";"0.279** ";"0.224*  ";"0.288** ";"0.185*  ";"0.181*  ";"1.000   "
