"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
1,123,4.41463414634146,0.73469999752651,5,4.54545454545455,0,2,5,3,-1.18254190804527,1.10470071165752,0.0662456678359892
2,123,4.04065040650407,0.739942110980509,4,4.08080808080808,0,2,5,3,-0.424520247444531,-0.131231057468497,0.0667183332882844
3,123,3.49593495934959,0.852902313510039,4,3.50505050505051,1.4826,1,5,4,-0.184012621388547,-0.289057675374221,0.0769036117429605
4,123,3.56910569105691,1.00066617820992,4,3.60606060606061,1.4826,1,5,4,-0.139898965411805,-0.673276359538904,0.0902270307330594
5,123,3.46341463414634,0.77133780874136,3,3.49494949494949,1.4826,1,5,4,-0.250719295005753,0.0784284903988035,0.0695491880213
6,123,3.84552845528455,0.757828220567549,4,3.82828282828283,1.4826,2,5,3,0.0359133852250159,-0.828687265222095,0.0683310694779812
7,123,3.00813008130081,0.909836365753949,3,2.97979797979798,1.4826,1,5,4,0.178506618591047,-0.242476194422693,0.0820371823516508
8,123,3.10569105691057,0.912688409743447,3,3.09090909090909,0,1,5,4,0.0495320569167923,0.072291786739004,0.0822943424978573
9,123,3.1869918699187,1.00286142657745,3,3.21212121212121,1.4826,1,5,4,-0.279185700806504,-0.435864363079595,0.0904249696124153
10,123,3.57723577235772,0.88714064607759,4,3.61616161616162,1.4826,1,5,4,-0.336865081855266,-0.0311594113366018,0.0799907782247411
11,123,3.35772357723577,0.950669145709217,3,3.34343434343434,1.4826,1,5,4,-0.0185322487228091,-0.550128679587802,0.0857189501301229
12,123,4.19512195121951,0.708942141797082,4,4.25252525252525,1.4826,2,5,3,-0.429115542743492,-0.473710469936634,0.0639231601994522
13,123,2.65853658536585,1.12227278391637,3,2.63636363636364,1.4826,1,5,4,0.208807833202337,-0.845332042184755,0.101191929107107
14,123,2.29268292682927,1.10684685300975,2,2.19191919191919,1.4826,1,5,4,0.597640618711063,-0.391377943612899,0.0998010197586101
15,123,2.63414634146341,1.14711536060668,3,2.57575757575758,1.4826,1,5,4,0.318974436369146,-0.631031581839689,0.103431908811962
16,123,2.22764227642276,1.12943485164028,2,2.1010101010101,1.4826,1,5,4,0.802819737512494,-0.14342051556246,0.101837711005915
17,123,3.68292682926829,0.943633309326781,4,3.74747474747475,1.4826,1,5,4,-0.558719036335243,-0.118796604323415,0.0850845501280698
18,123,3.52032520325203,1.04292773193147,4,3.58585858585859,1.4826,1,5,4,-0.591037163504899,-0.161462979582064,0.0940376267035183
19,123,3.01626016260163,1.13067323508939,3,3.05050505050505,1.4826,1,5,4,-0.234027926548064,-0.779105870169244,0.10194937228113
20,123,3.92682926829268,0.869998414425888,4,4.01010101010101,0,1,5,4,-0.749199552877123,0.409729233322917,0.0784451152496635
21,123,4.3739837398374,0.750937927012109,5,4.50505050505051,0,2,5,3,-1.18306008710314,1.24515579444228,0.0677097926306927
22,123,3.90243902439024,0.953119418199976,4,4.01010101010101,1.4826,1,5,4,-0.708435582157058,-0.121208337013743,0.0859398837602807
23,123,3.8130081300813,0.994654512026169,4,3.91919191919192,1.4826,1,5,4,-0.714539684227864,0.0802822757274497,0.0896849770478949
24,123,3.89430894308943,0.787327999744491,4,3.91919191919192,1.4826,2,5,3,-0.314436677910997,-0.3777791625336,0.0709909749893055
25,123,4.09756097560976,0.728963267265225,4,4.14141414141414,0,2,5,3,-0.400638692884435,-0.301157168590227,0.0657284042881013
